Timestamp,Name,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/25/2024 14:01,James Moore,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024 14:01,Susan Williams,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024 14:02,Linda Brown,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Always,Severe impact,Every night,Every day,Sometimes (3-4 times a week),Extremely high stress,Poor
10/25/2024 14:02,Joseph Brown,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 14:06,Daniel Jones,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024 14:07,Jessica Martinez,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 14:08,Thomas Rodriguez,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:09,Susan Thomas,Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 14:09,Jessica Davis,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:11,Joseph Moore,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 14:13,Robert Gonzalez,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:13,Michael Martin,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 14:14,Thomas Jones,Third year,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor
10/25/2024 14:14,John Rodriguez,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 14:15,Susan Hernandez,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024 14:15,Thomas Rodriguez,Graduate student,Male,Never,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 14:17,James Martinez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 14:18,Lisa Martinez,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024 14:19,Charles Jackson,Third year,Female,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024 14:21,Nancy Thomas,Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:21,Robert Anderson,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:21,Sarah Thomas,Graduate student,Female,Every night,7-8 hours,Every night,Good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/25/2024 14:22,Barbara Hernandez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:23,Sarah Moore,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 14:23,Richard Anderson,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 14:24,David Miller,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:26,Matthew Davis,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Always,Always,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:27,Charles Gonzalez,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024 14:27,Linda Wilson,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/25/2024 14:28,Mary Hernandez,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:28,Lisa Thomas,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:30,Matthew Gonzalez,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:31,Richard Jones,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024 14:32,Jessica Johnson,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/25/2024 14:32,Robert Taylor,Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024 14:33,Charles Hernandez,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Below Average
10/25/2024 14:34,Patricia Anderson,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:34,Patricia Taylor,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024 14:35,Joseph Smith,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 14:35,Lisa Jones,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:35,Susan Jones,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 14:36,John Thomas,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/25/2024 14:36,William Hernandez,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024 14:38,Karen Gonzalez,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:39,Daniel Williams,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 14:39,David Moore,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024 14:40,Richard Hernandez,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 14:40,Daniel Thomas,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 14:40,Sarah Johnson,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 14:41,Karen Williams,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/25/2024 14:44,Linda Martinez,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:45,Linda Williams,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:45,Susan Brown,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 14:46,Daniel Brown,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024 14:46,Joseph Garcia,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 14:51,Matthew Martinez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024 14:53,James Johnson,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 15:00,David Johnson,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:02,Elizabeth Lopez,Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:03,Barbara Wilson,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:03,Robert Davis,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:04,Thomas Wilson,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:05,Charles Garcia,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 15:05,Jennifer Garcia,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 15:06,John Martin,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024 15:06,Richard Martin,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 15:07,Nancy Davis,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:07,Jessica Jackson,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:08,Robert Davis,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/25/2024 15:09,Joseph Rodriguez,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 15:11,Joseph Rodriguez,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 15:12,Nancy Smith,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:13,Joseph Martinez,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:14,Nancy Moore,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:16,Jennifer Williams,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 16:10,Joseph Lopez,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 16:11,Charles Martinez,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 16:12,Daniel Wilson,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 16:58,Matthew Rodriguez,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024 16:59,Joseph Martinez,Graduate student,Female,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 17:37,Michael Gonzalez,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024 17:38,Jessica Brown,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 17:38,Linda Gonzalez,Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 17:40,Charles Lopez,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 17:41,Charles Martinez,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 18:02,Matthew Martinez,Third year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 18:02,James Gonzalez,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024 18:02,William Smith,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024 18:03,Charles Johnson,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 18:04,Karen Thomas,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 18:04,Elizabeth Davis,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 19:54,Karen Lopez,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 21:10,Linda Miller,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/26/2024 7:52,Karen Rodriguez,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/26/2024 7:53,Nancy Jones,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 7:53,Daniel Brown,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
10/26/2024 7:54,Daniel Johnson,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 7:54,Elizabeth Anderson,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/26/2024 7:55,Mary Jackson,Third year,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Below Average
10/26/2024 7:57,Barbara Jones,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:57,John Martinez,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Poor
10/26/2024 7:58,David Wilson,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:58,Jennifer Miller,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/26/2024 7:58,Robert Moore,Third year,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 7:58,Barbara Taylor,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:59,Thomas Rodriguez,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:59,Jennifer Rodriguez,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 8:00,Jessica Martinez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:00,Lisa Hernandez,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Average
10/26/2024 8:01,Patricia Anderson,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:02,John Jones,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:02,Linda Gonzalez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:03,Sarah Lopez,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/26/2024 8:03,John Gonzalez,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:07,James Rodriguez,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:07,Sarah Brown,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 8:08,Joseph Lopez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/26/2024 8:22,Nancy Rodriguez,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 8:32,Charles Gonzalez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 8:33,Daniel Lopez,Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 8:34,Patricia Davis,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:36,Jessica Smith,Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/26/2024 8:50,Karen Moore,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/26/2024 8:52,David Martin,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:55,Linda Williams,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:55,Daniel Anderson,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 8:56,Matthew Martinez,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 8:57,Daniel Wilson,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 8:58,Patricia Jones,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:58,Mary Johnson,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 9:06,Elizabeth Thomas,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
