Timestamp,Name,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?,hours_numeric,hours_z
10/24/2024 19:41,Sarah Thomas,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:43,Joseph Williams,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 19:45,Karen Rodriguez,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 19:48,Linda Jackson,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average,8.5,0.9956222072871798
10/24/2024 19:50,Charles Smith,Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:50,Nancy Rodriguez,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Rarely,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 19:55,Jennifer Thomas,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average,8.5,0.9956222072871798
10/24/2024 19:56,Thomas Anderson,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:56,William Garcia,Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Every day,Every day,High stress,Below Average,8.5,0.9956222072871798
10/24/2024 19:59,Charles Wilson,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 20:01,John Thomas,Third year,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 20:18,Elizabeth Gonzalez,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,7.5,-0.27093981378634746
10/24/2024 20:20,Sarah Johnson,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/24/2024 20:31,David Rodriguez,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Always,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/24/2024 20:32,David Brown,Second year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Sometimes,Always,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 20:36,James Moore,Third year,Male,Every night,7-8 hours,Every night,Good,Sometimes,Sometimes,Never,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 20:44,Thomas Lopez,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,8.5,0.9956222072871798
10/24/2024 20:45,Daniel Anderson,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/24/2024 20:46,Mary Miller,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 20:49,William Moore,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/25/2024 13:59,Patricia Smith,Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Sometimes (1-2 times a week),Severe impact,Every night,Every day,Rarely (1-2 times a week),High stress,Poor,8.5,0.9956222072871798
10/25/2024 14:00,Linda Garcia,Second year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,8.5,0.9956222072871798
10/25/2024 14:00,Elizabeth Moore,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,7.5,-0.27093981378634746
10/25/2024 14:01,James Moore,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,8.5,0.9956222072871798
10/25/2024 14:09,Susan Thomas,Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/25/2024 14:14,Thomas Jones,Third year,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,8.5,0.9956222072871798
10/25/2024 14:14,John Rodriguez,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/25/2024 14:19,Charles Jackson,Third year,Female,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/25/2024 14:21,Robert Anderson,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/25/2024 14:32,Robert Taylor,Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/25/2024 14:33,Charles Hernandez,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Below Average,8.5,0.9956222072871798
10/25/2024 14:34,Patricia Taylor,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,7.5,-0.27093981378634746
10/25/2024 14:36,John Thomas,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,7.5,-0.27093981378634746
10/25/2024 14:39,Daniel Williams,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/25/2024 14:39,David Moore,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/25/2024 14:40,Richard Hernandez,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/25/2024 14:40,Daniel Thomas,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,8.5,0.9956222072871798
10/25/2024 14:40,Sarah Johnson,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/25/2024 14:41,Karen Williams,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor,7.5,-0.27093981378634746
10/25/2024 17:38,Linda Gonzalez,Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,8.5,0.9956222072871798
10/25/2024 18:02,Matthew Martinez,Third year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/25/2024 18:02,James Gonzalez,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,7.5,-0.27093981378634746
10/26/2024 7:53,Daniel Brown,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 7:55,Mary Jackson,Third year,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 7:58,Robert Moore,Third year,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 8:03,Sarah Lopez,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 10:00,Susan Brown,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Below Average,8.5,0.9956222072871798
10/26/2024 10:02,Mary Lopez,Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,8.5,0.9956222072871798
10/26/2024 10:08,Michael Anderson,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 10:11,Nancy Lopez,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 13:57,James Rodriguez,First year,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 13:57,Robert Jones,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 13:59,Charles Hernandez,Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 14:00,William Johnson,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/26/2024 14:02,Joseph Taylor,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 14:02,Linda Martin,Third year,Male,Every night,6-7 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,6.5,-1.5375018348598748
10/26/2024 14:03,Elizabeth Anderson,Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 14:03,Daniel Smith,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:03,Mary Thomas,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Always,Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 14:04,Richard Wilson,Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:05,David Martin,Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:06,Sarah Hernandez,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:07,Thomas Martinez,Third year,Female,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Average,7.5,-0.27093981378634746
10/26/2024 14:07,Karen Wilson,Second year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:08,Patricia Brown,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:08,Daniel Moore,Third year,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor,8.5,0.9956222072871798
10/26/2024 14:08,Lisa Miller,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 14:09,Susan Anderson,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Average,7.5,-0.27093981378634746
10/26/2024 14:10,Richard Wilson,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:11,David Wilson,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,8.5,0.9956222072871798
10/26/2024 14:11,David Rodriguez,Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,8.5,0.9956222072871798
10/26/2024 14:12,Barbara Jones,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:14,Susan Brown,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 14:16,,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:17,,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:17,,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 14:18,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,7.5,-0.27093981378634746
10/26/2024 14:19,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:19,,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 14:24,,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,8.5,0.9956222072871798
10/26/2024 14:35,,Second year,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 15:25,,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 15:55,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 15:56,,First year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 15:56,,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 16:03,,Third year,Female,Every night,More than 8 hours,Every night,Very poor,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 16:03,,Third year,Male,Every night,7-8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:04,,Third year,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 16:10,,Third year,Female,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 16:12,,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Every day,Sometimes (3-4 times a week),Extremely high stress,Below Average,8.5,0.9956222072871798
10/26/2024 16:12,,First year,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 16:13,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:14,,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 16:14,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:20,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Rarely (1-2 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:21,,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Moderate impact,Every night,Often (5-6 times a week),Rarely (1-2 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 16:21,,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 16:23,,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),Extremely high stress,Poor,8.5,0.9956222072871798
10/26/2024 16:28,,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,8.5,0.9956222072871798
10/26/2024 16:29,,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Excellent,8.5,0.9956222072871798
10/26/2024 16:29,,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:30,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 16:30,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:31,,Third year,Male,Every night,7-8 hours,Every night,Very poor,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:39,,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Never,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,8.5,0.9956222072871798
10/26/2024 16:39,,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Average,7.5,-0.27093981378634746
10/26/2024 16:40,,Third year,Female,Every night,7-8 hours,Every night,Very poor,Often,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/26/2024 16:40,,Third year,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,6.5,-1.5375018348598748
10/26/2024 16:41,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/26/2024 16:42,,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:42,,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/26/2024 16:43,,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,8.5,0.9956222072871798
